Part #,Description,UPC,Base Price,Discounted Base, Map ,MSRP,Case Qty
AP4-CH21,***Serialized*** AmpPRO for select 2008-2015 Chrysler (medium speed) vehicles. Audio Output Interface for Vehicles with Digital Audio System,6.09099E+11,291.02,247.37,419,499,40
AP4-CH41(R.2),***Serialized*** AmpPRO 2013-2019 Chrysler Vehicles Works w/Non Amplified and Amplified,6.09099E+11,291.02,247.37,419,499,32
AP4-CH42,***Serialized*** AmpPRO 2020-2023 Chrysler Vehicles Works w/Non Amplified and Amplified ,6.09099E+11,291.02,247.37,419,499,32
AP4-FD11,***Serialized*** AmpPRO for Select Ford and Lincoln vehicles with 24-pin 16-pin and 8-pin connectors Audio output interface for vehicles,6.09099E+11,291.02,247.37,419,499,32
AP4-FD21,***Serialized*** AmpPRO for Select 2010-2017 Ford (Sony) Vehicles. Audio Output Interface for Vehicles with Digital Audio System.,6.09099E+11,291.02,247.37,419,499,32
AP4-FD31,***Serialized*** Amplifier Integration Interface for Select 2018+ Ford vehicles with A2B Amplified System  ,6.09099E+11,331.3,281.61,479,549,32
AP4-GM61,***Serialized*** AmpPRO for Select GM vehicles with 20-pin and 8-pin connectors (MOST50) Audio output interface for vehicles,6.09099E+11,331.3,281.61,479,549,32
AP4-GM71,***Serialized***Amplifier Integration Interface for Select 2018+ GM vehicles with AVB Ethernet Amplified System ,6.09099E+11,331.3,281.61,479,549,32
AP4-TY11,***Serialized*** AmpPRO for Select Toyota and Lexus vehicles with two 20-pin connectors Audio Output interface for vehicles with a digital audio system,6.09099E+11,291.02,247.37,419,499,32
AP4-TY12,***Serialized*** AmpPRO for Select Toyota and Lexus vehicles with 28-pin 10-pin and 6-pin connectors Audio Output interface for vehicles,6.09099E+11,291.02,247.37,419,499,32
AP4-TY13,***Serialized*** AmpPRO for Select Toyota and Lexus vehicles with 24-pin and 30-pin connectors Audio output interface for vehicles,6.09099E+11,291.02,247.37,419,499,32
AP4-TY14,"***Serialized*** AmpPRO for Select Toyota and Lexus vehicles 2021-2024, Audio output interface for vehicles",6.09099E+11,291.02,247.37,419,499,32
APSUB-CH21,***Serialized*** Subwoofer Amplifier Integration Interface for Select 2008-2015 Chrysler Dodge Jeep and RAM vehicles with amplified sound,6.09099E+11,160.89,136.76,239,329,32
APSUB-CH41,***Serialized*** Subwoofer Amplifier Integration Interface for Select 2013-2019 Chrysler Dodge Jeep and RAM vehicles with amplified sound,6.09099E+11,160.89,136.76,239,329,32
APSUB-CH42,***Serialized*** Subwoofer Amplifier Integration Interface for Select 2020-2023 Chrysler Dodge Jeep and RAM vehicles with amplified sound ,6.09099E+11,160.89,136.76,239,329,32
APSUB-FD21,"***Serialized*** Subwoofer Amplifier Integration Interface for Select 2010-2017 Ford vehicles with 8.4"" Radio and Factory Sony Amplified System",6.09099E+11,160.89,136.76,239,329,32
APSUB-GM61,***Serialized*** Subwoofer Amplifier Integration Interface for Select GM vehicles with 20-pin and 8-pin connectors (MOST50) Audio output interface for,6.09099E+11,193.38,164.37,299,379,32
APSUB-TY12,***Serialized*** Subwoofer Amplifier Integration Interface for Select 2014+ Toyota and Lexus vehicles with Premium Amplified Sound Systems,6.09099E+11,160.89,136.76,239,329,32
APSUB-TY13,Subwoofer Amplifier Integration,6.09099E+11,160.89,136.76,239,329,32
AP4-FD32,***Serialized*** Amplifier Integration Interface for Select Ford vehicles with Amplified System,6.09099E+11,331.3,281.61,479,549,32
AP4-GM81,*** SERIALIZED*** GM A2B AmpPro,6.09099E+11,331.3,281.61,479,549,
A1100.5,"***Serialized***AudioControl A Series 5ch amplifier - 125Wx4+600Wx1 @2ohm, 90Wx4+400Wx1@4ohm",8.50039E+11,369.39,313.98,579,779,3
A1500.1,"***Serialized***AudioControl A Series Mono block amplifier - 1500w@1.33ohm, 1200w@2ohm, 600W/Ch@4ohm",8.50039E+11,219,186.15,349,449,4
A600.4,"***Serialized***AudioControl A Series 4ch full range amplifier - 150w x4 @2ohm, 100w x4 @4ohm",8.50039E+11,208.79,177.47,319,429,4
A800.1,"***Serialized***AudioControl A Series Mono block amplifier - 800w@1.33 ohm 600w@2ohm, 400w@4ohm",8.50039E+11,169,143.65,249,349,4
AC-BT24,***Serialized*** AudioControl Bluetooth Streamer/Programmer Black,8.51523E+11,119.86,101.88,159,209,30
AC-LGD,AudioControl Load Generating Device Two Pack With Wires (new packaging) Black 12 V,8.51523E+11,29.97,25.47,0,69,80
AC-LGD-20,AudioControl Load Generating Device Two Pack With Wires Black 12 V,8.51523E+11,29.97,25.47,0,69,80
AC-LGD-60,AudioControl Load Generating Device Two Pack With Wires Black 12 V,8.51523E+11,29.97,25.47,0,69,30
ACM-4.300,***Serialized*** AudioControl Four Channel Micro Amplifier Black 12 V.     10 Per Case,8.51523E+11,446.04,379.13,0,1049,10
ACR-1,AudioControl SINGLE ACR-1  REMOTE,8.55814E+11,32.36,27.51,0,79,48
ACR-2,AudioControl SINGLE ACR-2  REMOTE,8.55814E+11,23.37,19.86,0,55.99,48
ACR-3,AudioControl SINGLE ACR-3  REMOTE,8.55814E+11,23.37,19.86,0,55.99,48
ACR-4,ACR-4 Remote Control Knob for EPICENTER MICRO,6.09099E+11,42.74,36.33,0,99,48
ACR-E,"AudioControl EPIC Series amplifier Remote Set (Cable, Remote & Screws) -ONLY for EPIC Amps",- None -,30.74,26.13,0,49,0
ACR-U,AudioControl Universal Remote Level Control Black 12 V,8.51523E+11,52.45,44.58,0,119,0
ACX-3.2,*Serialized*** ALL-WEATHER EQUALIZER & CROSSOVER WITH PAGING MIC,8.51523E+11,361.86,307.58,529,709,6
ACX-300.1,***Serialized*** AudioControl Mono Subwoofer All-Weather Amplifier with AccuBASS Black 12 V,8.51523E+11,146.16,124.24,0,339,4
ACX-300.2,***Serialized*** ACX-300.2 all weather two channel amplifier ,8.50039E+11,189.74,161.28,529,709,
ACX-300.4,***Serialized*** AudioControl Four Channel All-Weather Amplifier Black 12 V,8.51523E+11,196.43,166.97,0,459,4
ACX-600.1,***Serialized***ACX-600.1 all weather monoblock amplifier ,8.50039E+11,232.03,197.23,409,559,4
ACX-650.5,***Serialized***ACX-650.5 all weather five channel amplifier ,8.50039E+11,332.33,282.48,549,739,0
ACX-BT1,AudioControl All-Weather Bluetooth Streamer Black 12 V,8.51523E+11,67.42,57.31,0,159,40
D-4.800,***Serialized*** AudioControl D-4.800 4 CH DSP AMPLIFIER W/OPTION PORT,8.55814E+11,586.83,498.81,0,1899,2
D-5.1300,***Serialized*** AudioControl Five Channel DSP Matrix Amplifier Black 12 V,8.51523E+11,822.15,698.83,0,2779,2
D-6.1200,***Serialized*** AudioControl Six Channel Matrix DSP Amplifier Black 12 V,8.51523E+11,822.15,698.83,0,2939,5
DM-810,"***Serialized*** AudioControl 8x10 Matrix DSP With EQ, AccuBASS(R), Crossover and Signal Delay Black 12 V",8.55814E+11,444.75,378.04,829,1109,4
DM-RTA,***Serialized*** AudioControl Real Time Analyzer Black 120 V,8.51523E+11,674.22,573.09,949,1279,0
DM-RTA BASE KIT,AudioControl Case / Cables / Power Supply Blue 12 V,8.51523E+11,306.47,260.5,479,639,0
EPIC1000,"***Serialized*** AudioControl EPIC Series Mono block amplifier - 1000w@1ohm 750w@2ohm, 500w@4ohm",8.50039E+11,139.6,118.66,219,209,4
EPIC1500,"***Serialized*** AudioControl EPIC Series Mono block amplifier - 1500w@1ohm, 1000w@2ohm, 750w@4ohm",8.50039E+11,170.49,144.92,259,249,4
EPIC2000,"***Serialized***AudioControl EPIC Series Mono block amplifier - 2000w@1ohm, 1500w@2ohm, 1000w@4ohm",8.50039E+11,228.56,194.28,349,329,4
EPIC3500,"***SERIALIZED*** AudioControl EPIC Series Mono block amplifier 3500w @1ohm, 2000w @2ohm, 1000w@4ohm",8.10194E+11,349.8,297.33,509,479,0
EPIC500,"***SERIALIZED*** AudioControl EPIC Series Mono amplifier 250x1 @4, 375x1@2, 500x1@1",8.10194E+11,94.34,80.19,139,129,0
EPIC750,"***Serialized*** AudioControl EPIC Series Mono block amplifier - 750w@1 ohm 500w@2ohm, 350w@4ohm",8.50039E+11,116.13,98.71,189,179,4
EPICBIGFOUR,"***SERIALIZED*** AudioControl EPIC Series 4 channel full range amplifier - 350w x4 @2 ohm, 200w x4 @4ohm 800w x2 @ 4ohm Bridged",8.10194E+11,157.94,134.25,239,229,0
EPICENTER Billet LE,EPICENTER Limited Edition 2025,8.10194E+11,184.08,156.47,209,219,8
EPICENTER MICRO PRO,"***Serialized*** AudioControl Bass Restoration Processor and LOC Black 12 V  with Line Driver ""Pro"" Version",8.50039E+11,174.9,148.67,229,259,7
Epicenter Pro,***SERIALIZED*** Epicenter Pro version AudioControl Bass Restoration Processor with Line Driver ,8.10194E+11,164.3,139.66,199,259,0
EPICFIVE,"***Serialized***AudioControl EPIC Series 5 channel amplifier - 150w x4+300x1@2ohm, 75w x4 or 300wx2@4ohm+700w @1ohm ch5",8.50039E+11,172.96,147.02,259,249,4
EPICFOUR,"***Serialized*** AudioControl EPIC Series 4 channel full range amplifier - 150w x4 @2ohm, 100w x4 @4ohm,  300w x2 @4ohm Bridged",8.50039E+11,123.54,105.01,199,189,4
LC-1.1500,***Serialized*** AudioControl High Power Subwoofer Amplifier with AccuBASS Black 12 V.    5 Per case,8.51523E+11,517.64,439.99,0,949,5
LC-1.800,***Serialized*** AudioControl High Power Subwoofer Amplifier with AccuBASS Black 12 V,8.51523E+11,332.33,282.48,0,779,5
LC1i,***Serialized*** AudioControl 2ch Line Out Converter and Line Driver Black 12 V,8.51523E+11,64.86,55.13,0,149,48
LC2i PRO,***Serialized*** AudioControl 2ch Line Out Converter with AccuBASS Black 12 V,8.51523E+11,103.77,88.2,159,209,24
LC-4.800,***Serialized*** AudioControl Four Channel High Power Amplifier with AccuBASS BLACK 12 V,8.55814E+11,418.81,355.99,0,989,5
LC-5.1300,***Serialized*** AudioControl Five Channel Amplifier with AccuBASS Black 12 V.    5 Per case,8.51523E+11,579.42,492.51,0,1369,5
LC5iPRO,***Serialized*** LC5iPro: 4ch in - 6ch out Line Out Converter,8.50039E+11,147.01,124.96,259,359,6
LC-6.1200,***Serialized*** AudioControl Six Channel Amplifier with AccuBass Black 12 V,8.51523E+11,579.42,492.51,0,1369,5
LC7iPRO,***Serialized***LC7iPro: 6ch in - 6ch out Line Out Converter,8.50039E+11,179.14,152.27,329,439,6
LC8i,***Serialized*** AudioControl Eight Channel Line Output Converter with Auxiliary Input Black 12 V,8.55814E+11,194.58,165.39,0,459,4
MATRIX PLUS,***Serialized*** AudioControl Six Channel Line Driver Black 12 V,8.51523E+11,163.44,138.92,249,339,4
SPC-W10,"***Serialized***Universal wedge style 10"" loaded subwoofer enclosure",8.50039E+11,253.73,215.67,479,639,0
